,Date,Wards,Temperature
386,2019-03,Babusab Palya,37.03548387096774
387,2019-04,Babusab Palya,36.80333333333333
388,2019-05,Babusab Palya,33.31612903225806
389,2019-06,Babusab Palya,31.40666666666667
390,2019-07,Babusab Palya,31.151612903225807
391,2019-08,Babusab Palya,28.525806451612905
392,2019-09,Babusab Palya,29.933333333333334
393,2019-10,Babusab Palya,27.98709677419355
394,2019-11,Babusab Palya,28.276666666666664
395,2019-12,Babusab Palya,25.86774193548387
396,2022-01,Babusab Palya,27.37741935483871
397,2022-02,Babusab Palya,30.357142857142858
398,2022-03,Babusab Palya,32.377419354838715
399,2022-04,Babusab Palya,35.65333333333333
400,2022-05,Babusab Palya,29.812903225806455
401,2022-06,Babusab Palya,28.663333333333334
402,2022-07,Babusab Palya,27.019354838709678
403,2022-08,Babusab Palya,29.741935483870968
404,2022-09,Babusab Palya,29.826666666666664
405,2022-10,Babusab Palya,31.35263157894737
406,2022-11,Babusab Palya,24.876666666666665
407,2022-12,Babusab Palya,25.351612903225806
408,2019-01,Bagalakunte,29.35483870967742
409,2019-02,Bagalakunte,33.753571428571426
410,2019-03,Bagalakunte,37.76451612903226
411,2019-04,Bagalakunte,37.60333333333333
412,2019-05,Bagalakunte,33.40967741935484
413,2019-06,Bagalakunte,31.206666666666667
414,2019-07,Bagalakunte,30.990322580645163
415,2019-08,Bagalakunte,28.470967741935485
416,2019-09,Bagalakunte,29.856666666666666
417,2019-10,Bagalakunte,27.89032258064516
418,2019-11,Bagalakunte,28.053333333333335
419,2019-12,Bagalakunte,26.16774193548387
420,2022-01,Bagalakunte,27.293548387096774
421,2022-02,Bagalakunte,30.95357142857143
422,2022-03,Bagalakunte,32.729032258064514
423,2022-04,Bagalakunte,35.12
424,2022-05,Bagalakunte,29.261290322580646
425,2022-06,Bagalakunte,28.196666666666665
426,2022-07,Bagalakunte,27.05806451612903
427,2022-08,Bagalakunte,29.651612903225807
428,2022-09,Bagalakunte,29.663333333333334
429,2022-10,Bagalakunte,30.836842105263155
430,2022-11,Bagalakunte,24.78666666666667
431,2022-12,Bagalakunte,25.44516129032258
432,2019-01,Banasavadi,28.093548387096774
433,2019-02,Banasavadi,32.55
434,2019-03,Banasavadi,36.71612903225807
435,2019-04,Banasavadi,36.74333333333333
436,2019-05,Banasavadi,33.248387096774195
437,2019-06,Banasavadi,31.026666666666664
438,2019-07,Banasavadi,31.141935483870967
439,2019-08,Banasavadi,28.525806451612905
440,2019-09,Banasavadi,29.96333333333333
441,2019-10,Banasavadi,27.87741935483871
442,2019-11,Banasavadi,28.066666666666666
443,2019-12,Banasavadi,26.070967741935487
444,2022-01,Banasavadi,27.338709677419356
445,2022-02,Banasavadi,30.396428571428572
446,2022-03,Banasavadi,32.35806451612903
447,2022-04,Banasavadi,35.38
448,2022-05,Banasavadi,29.716129032258067
449,2022-06,Banasavadi,28.596666666666668
450,2022-07,Banasavadi,27.06451612903226
451,2022-08,Banasavadi,29.729032258064517
452,2022-09,Banasavadi,29.81
453,2022-10,Banasavadi,31.40526315789474
454,2022-11,Banasavadi,24.970000000000002
455,2022-12,Banasavadi,25.370967741935484
456,2019-01,Banashankari Temple ward,28.725806451612904
457,2019-02,Banashankari Temple ward,32.839285714285715
458,2019-03,Banashankari Temple ward,36.45161290322581
459,2019-04,Banashankari Temple ward,36.980000000000004
460,2019-05,Banashankari Temple ward,33.31612903225806
461,2019-06,Banashankari Temple ward,30.743333333333336
462,2019-07,Banashankari Temple ward,31.0
463,2019-08,Banashankari Temple ward,28.406451612903226
464,2019-09,Banashankari Temple ward,30.05333333333333
465,2019-10,Banashankari Temple ward,27.86774193548387
466,2019-11,Banashankari Temple ward,28.45
467,2019-12,Banashankari Temple ward,26.23548387096774
468,2022-01,Banashankari Temple ward,27.958064516129035
469,2022-02,Banashankari Temple ward,30.49285714285714
470,2022-03,Banashankari Temple ward,32.81612903225806
471,2022-04,Banashankari Temple ward,34.82333333333334
472,2022-05,Banashankari Temple ward,29.60645161290323
473,2022-06,Banashankari Temple ward,28.513333333333332
474,2022-07,Banashankari Temple ward,26.980645161290322
475,2022-08,Banashankari Temple ward,29.677419354838708
476,2022-09,Banashankari Temple ward,29.9
477,2022-10,Banashankari Temple ward,31.426315789473687
478,2022-11,Banashankari Temple ward,24.976666666666667
479,2022-12,Banashankari Temple ward,25.94516129032258
480,2019-01,Bande Mutt,29.74516129032258
481,2019-02,Bande Mutt,34.26428571428571
482,2019-03,Bande Mutt,38.83548387096774
483,2019-04,Bande Mutt,38.086666666666666
484,2019-05,Bande Mutt,33.46774193548387
485,2019-06,Bande Mutt,31.053333333333335
486,2019-07,Bande Mutt,31.296774193548387
487,2019-08,Bande Mutt,28.506451612903227
488,2019-09,Bande Mutt,29.933333333333334
489,2019-10,Bande Mutt,27.741935483870968
490,2019-11,Bande Mutt,27.723333333333336
491,2019-12,Bande Mutt,26.30322580645161
492,2022-01,Bande Mutt,27.648387096774194
493,2022-02,Bande Mutt,31.232142857142858
494,2022-03,Bande Mutt,32.42258064516129
495,2022-04,Bande Mutt,34.18666666666666
496,2022-05,Bande Mutt,29.138709677419353
497,2022-06,Bande Mutt,27.986666666666668
498,2022-07,Bande Mutt,27.083870967741937
499,2022-08,Bande Mutt,29.470967741935485
500,2022-09,Bande Mutt,29.3
501,2022-10,Bande Mutt,31.07894736842105
502,2022-11,Bande Mutt,24.743333333333332
503,2022-12,Bande Mutt,25.396774193548385
504,2019-01,Bapuji Nagar,28.961290322580645
505,2019-02,Bapuji Nagar,33.20357142857143
506,2019-03,Bapuji Nagar,37.05806451612903
507,2019-04,Bapuji Nagar,37.13
508,2019-05,Bapuji Nagar,33.622580645161285
509,2019-06,Bapuji Nagar,30.85
510,2019-07,Bapuji Nagar,31.200000000000003
511,2019-08,Bapuji Nagar,28.54193548387097
512,2019-09,Bapuji Nagar,30.096666666666668
513,2019-10,Bapuji Nagar,28.306451612903224
514,2019-11,Bapuji Nagar,28.186666666666667
515,2019-12,Bapuji Nagar,26.312903225806455
516,2022-01,Bapuji Nagar,27.70967741935484
517,2022-02,Bapuji Nagar,30.992857142857144
518,2022-03,Bapuji Nagar,32.56774193548387
519,2022-04,Bapuji Nagar,34.96
520,2022-05,Bapuji Nagar,29.95483870967742
521,2022-06,Bapuji Nagar,28.916666666666668
522,2022-07,Bapuji Nagar,27.112903225806452
523,2022-08,Bapuji Nagar,29.68064516129032
524,2022-09,Bapuji Nagar,29.726666666666667
525,2022-10,Bapuji Nagar,31.542105263157893
526,2022-11,Bapuji Nagar,25.15
527,2022-12,Bapuji Nagar,26.26774193548387
528,2019-01,Basavanagudi,28.87741935483871
529,2019-02,Basavanagudi,32.542857142857144
530,2019-03,Basavanagudi,35.90967741935484
531,2019-04,Basavanagudi,36.63
532,2019-05,Basavanagudi,33.987096774193546
533,2019-06,Basavanagudi,31.346666666666668
534,2019-07,Basavanagudi,31.190322580645162
535,2019-08,Basavanagudi,28.406451612903226
536,2019-09,Basavanagudi,29.993333333333332
537,2019-10,Basavanagudi,28.04516129032258
538,2019-11,Basavanagudi,28.4
539,2019-12,Basavanagudi,26.432258064516127
540,2022-01,Basavanagudi,28.048387096774192
541,2022-02,Basavanagudi,30.517857142857142
542,2022-03,Basavanagudi,32.748387096774195
543,2022-04,Basavanagudi,34.873333333333335
544,2022-05,Basavanagudi,29.88064516129032
545,2022-06,Basavanagudi,28.446666666666665
546,2022-07,Basavanagudi,27.141935483870967
547,2022-08,Basavanagudi,29.677419354838708
548,2022-09,Basavanagudi,29.903333333333332
549,2022-10,Basavanagudi,31.463157894736838
550,2022-11,Basavanagudi,24.78666666666667
551,2022-12,Basavanagudi,25.9741935483871
552,2019-01,Basavanapura,28.04516129032258
553,2019-02,Basavanapura,32.78928571428572
554,2019-03,Basavanapura,36.71290322580645
555,2019-04,Basavanapura,36.61333333333334
556,2019-05,Basavanapura,32.69032258064516
557,2019-06,Basavanapura,30.90666666666667
558,2019-07,Basavanapura,31.177419354838708
559,2019-08,Basavanapura,28.387096774193548
560,2019-09,Basavanapura,29.709999999999997
561,2019-10,Basavanapura,27.761290322580646
562,2019-11,Basavanapura,27.616666666666667
563,2019-12,Basavanapura,25.793548387096774
564,2022-01,Basavanapura,26.712903225806453
565,2022-02,Basavanapura,29.639285714285712
566,2022-03,Basavanapura,32.43225806451613
567,2022-04,Basavanapura,34.916666666666664
568,2022-05,Basavanapura,29.509677419354837
569,2022-06,Basavanapura,28.366666666666667
570,2022-07,Basavanapura,27.070967741935487
571,2022-08,Basavanapura,29.60967741935484
572,2022-09,Basavanapura,29.71333333333333
573,2022-10,Basavanapura,30.95263157894737
574,2022-11,Basavanapura,23.83
575,2022-12,Basavanapura,24.683870967741935
576,2019-01,Basaveshwara Nagar,28.990322580645163
577,2019-02,Basaveshwara Nagar,33.121428571428574
578,2019-03,Basaveshwara Nagar,36.89354838709678
579,2019-04,Basaveshwara Nagar,37.22666666666667
580,2019-05,Basaveshwara Nagar,33.81290322580645
581,2019-06,Basaveshwara Nagar,30.866666666666667
582,2019-07,Basaveshwara Nagar,31.177419354838708
583,2019-08,Basaveshwara Nagar,28.529032258064515
584,2019-09,Basaveshwara Nagar,30.05
585,2019-10,Basaveshwara Nagar,28.351612903225806
586,2019-11,Basaveshwara Nagar,28.273333333333333
587,2019-12,Basaveshwara Nagar,26.125806451612902
588,2022-01,Basaveshwara Nagar,28.14516129032258
589,2022-02,Basaveshwara Nagar,30.925
590,2022-03,Basaveshwara Nagar,32.76129032258065
591,2022-04,Basaveshwara Nagar,35.15333333333333
592,2022-05,Basaveshwara Nagar,29.91290322580645
593,2022-06,Basaveshwara Nagar,28.81
594,2022-07,Basaveshwara Nagar,27.12258064516129
595,2022-08,Basaveshwara Nagar,29.7
596,2022-09,Basaveshwara Nagar,29.709999999999997
597,2022-10,Basaveshwara Nagar,31.457894736842107
598,2022-11,Basaveshwara Nagar,24.990000000000002
599,2022-12,Basaveshwara Nagar,26.19677419354839
600,2019-01,Begur,29.338709677419356
601,2019-02,Begur,34.175
602,2019-03,Begur,38.458064516129035
603,2019-04,Begur,38.20666666666667
604,2019-05,Begur,32.8741935483871
605,2019-06,Begur,31.113333333333333
606,2019-07,Begur,31.1
607,2019-08,Begur,28.406451612903226
608,2019-09,Begur,29.919999999999998
609,2019-10,Begur,27.5
610,2019-11,Begur,27.993333333333332
611,2019-12,Begur,25.69677419354839
612,2022-01,Begur,27.032258064516128
613,2022-02,Begur,30.460714285714285
614,2022-03,Begur,32.832258064516125
615,2022-04,Begur,35.169999999999995
616,2022-05,Begur,29.112903225806452
617,2022-06,Begur,28.27333333333333
618,2022-07,Begur,26.996774193548386
619,2022-08,Begur,29.687096774193545
620,2022-09,Begur,29.683333333333334
621,2022-10,Begur,31.073684210526313
622,2022-11,Begur,24.459999999999997
